index,width,height,span,covering,num_longitude,diameter_longitude,num_hoop,diameter_hoop,concrete_stress,deflection,F_resistance
62.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.914,703.0
63.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.945,726.0
64.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,1.04,794.0
65.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,2.64,812.0
66.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,2.71,828.0
67.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,2.85,862.0
68.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,3.55,862.0
69.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.00857,29.7
70.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.0155,59.4
71.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.0233,89.1
72.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.031,119.0
73.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.0322,123.0
74.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.0334,128.0
75.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.0341,131.0
76.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.0916,134.0
77.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.0979,149.0
78.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.11800000000000001,178.0
79.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.159,238.0
80.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.321,446.0
81.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.597,891.0
82.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.856,1190.0
83.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.889,1230.0
84.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.8740000000000001,1280.0
85.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.878,1280.0
86.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.885,1290.0
87.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.8959999999999999,1310.0
88.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.917,1340.0
89.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.9590000000000001,1400.0
90.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,2.14,1440.0
91.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,2.16,1490.0
92.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,3.21,1540.0
93.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.0017699999999999999,4.16
94.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.00415,12.5
95.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.008620000000000001,20.8
96.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.00965,29.1
97.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.0138,33.3
98.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.0138,41.6
99.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.0258,62.4
100.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.0234,70.7
101.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.0653,74.9
102.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.0738,83.2
103.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.11800000000000001,125.0
104.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.193,208.0
105.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.34299999999999997,291.0
106.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.40700000000000003,374.0
107.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.457,416.0
108.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.506,458.0
109.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.53,478.0
110.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.537,485.0
111.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.542,489.0
112.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.545,491.0
113.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.555,499.0
114.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,0.58,520.0
115.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,1.11,532.0
116.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,1.13,541.0
117.0,16.0,32.0,260.0,3.0,4.0,1.28,15.0,0.6,0.000268,1.83,582.0
118.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.0016300000000000002,8.41
119.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.00375,25.2
120.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.00625,42.1
121.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.007490000000000001,50.5
122.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.008740000000000001,58.9
123.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.0127,67.3
124.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.0125,84.1
125.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.0238,126.0
126.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.02,135.0
127.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.0212,143.0
128.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.0748,151.0
129.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.0774,168.0
130.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.136,252.0
131.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.203,421.0
132.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.41600000000000004,673.0
133.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.48,841.0
134.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.371,925.0
135.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.40700000000000003,1010.0
136.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.41,1020.0
137.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.418,1030.0
138.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,0.442,1090.0
139.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,1.24,1120.0
140.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,1.6,1160.0
141.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,1.61,1140.0
142.0,29.0,36.0,290.0,4.0,4.0,1.83,16.0,0.6,0.000268,1.94,1140.0
143.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.00161,8.41
144.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.00371,25.2
145.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.00618,42.1
146.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.007409999999999999,50.5
147.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.008029999999999999,54.7
148.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.00864,58.9
149.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.0117,63.1
150.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.0125,67.3
151.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.0141,75.7
152.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.0188,101.0
153.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.0247,168.0
154.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.0795,177.0
155.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.106,185.0
156.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.115,210.0
157.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.132,252.0
158.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.18899999999999997,336.0
159.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.198,421.0
160.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.318,589.0
161.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.36700000000000005,673.0
162.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.32899999999999996,841.0
163.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.363,925.0
164.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.39799999999999996,1010.0
165.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.615,1090.0
166.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.45,1140.0
167.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,0.467,1180.0
168.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,1.46,1220.0
169.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,1.69,1260.0
170.0,29.0,36.0,290.0,4.0,4.0,2.08,16.0,0.6,0.000268,2.06,1260.0
